Hora_decimal,Vmedia_PCC_0700_pu,Vmedia_PCC_2220_pu,Vmedia_PCC_2380_pu,Vmedia_PCC_1250_pu,Vmedia_PCC_1630_pu,Vmedia_PCC_1950_pu,Vmedia_PAC_0016_pu,Vmedia_0622_Residuos_pu,Vmedia_1242_Solos_pu,Vmedia_1832_Remates_pu,Vmedia_3062_Biotecnologia_pu,Vmedia_3592_Ibama_pu,Vmedia_3722_Tambo_pu,Vmedia_3792_Laticinios_pu,Vmedia_4792_Antena_pu,Vmedia_5092_Suinocultura_pu,Vmedia_5152_Pomar_pu
7894.000000,0.975030,0.977970,0.977321,0.973171,0.972554,0.972085,0.978726,0.972148,0.968664,0.968645,0.972477,0.972888,0.971627,0.971783,0.975039,0.971765,0.972688
7894.250000,0.974764,0.977800,0.977161,0.972866,0.972249,0.971779,0.978545,0.971894,0.968327,0.968329,0.972311,0.972758,0.971448,0.971612,0.974885,0.971592,0.972533
7894.500000,0.974154,0.977218,0.976559,0.972260,0.971631,0.971149,0.977983,0.971267,0.967558,0.967682,0.971667,0.972194,0.970783,0.970959,0.974228,0.970935,0.971852
7894.750000,0.974179,0.977227,0.976572,0.972297,0.971667,0.971185,0.977988,0.971262,0.967523,0.967695,0.971611,0.972232,0.970683,0.970880,0.974239,0.970853,0.971839
7895.000000,0.974284,0.977448,0.976818,0.972368,0.971731,0.971239,0.978189,0.971439,0.967873,0.967795,0.972033,0.972477,0.971202,0.971359,0.975005,0.971338,0.972247
7895.250000,0.974401,0.977545,0.976918,0.972493,0.971852,0.971359,0.978283,0.971462,0.968039,0.967827,0.972180,0.972639,0.971379,0.971524,0.975115,0.971508,0.972379
7895.500000,0.974302,0.977505,0.976887,0.972372,0.971727,0.971228,0.978238,0.971480,0.967892,0.967805,0.972106,0.972614,0.971270,0.971429,0.975123,0.971411,0.972333
7895.750000,0.974660,0.977784,0.977164,0.972774,0.972130,0.971632,0.978519,0.971839,0.968255,0.968223,0.972415,0.972850,0.971602,0.971750,0.975394,0.971730,0.972588
7896.000000,0.974404,0.977489,0.976846,0.972525,0.971872,0.971365,0.978245,0.971611,0.968077,0.967988,0.972097,0.972430,0.971192,0.971338,0.974580,0.971420,0.972268
7896.250000,0.974222,0.977387,0.976756,0.972303,0.971649,0.971144,0.978133,0.971435,0.967915,0.967761,0.972020,0.972406,0.971123,0.971270,0.974504,0.971353,0.972223
